 , 2PAPM, 2PP, 2PPM, 3PAPM, 3PAr, 3PP, 3PPM, ASTP, ASTPM, BLKP, BLKPM, BPM, DBPM, DRBP, DRBPM, DWSPM, FGAPM, FGP, FGPM, FTAPM, FTP, FTPM, FTr, G, GS, GSPG, MP, MPG, OBPM, ORBP, ORBPM, OWSPM, PER, PFPM, PPM, STLP, STLPM, TOVP, TOVPM, TRBP, TRBPM, TSP, USGP, VORP, WSP48, WSPM, eFGP, 
validation, 0.0735368440154, 0.123659162069, 0.0585330869296, 0.0366667148945, 0.0948589147802, 0.132762933949, 0.017734430363, 4.99098336746, 0.0322467318685, 1.21800822097, 0.0153432668133, 3.41900710007, 1.96648392878, 3.8067021534, 0.0339158053273, 0.000486073599952, 0.0787891905711, 0.0892850528158, 0.0593331649472, 0.0387168852466, 0.184905413917, 0.030543467121, 0.139312745321, 20.331142989, 21.3197170248, 0.297807030053, 572.062157671, 5.48451858627, 3.64292751322, 5.33541799166, 0.0526570974577, 0.00130192907148, 7.33855620878, 0.032531446632, 0.129967707303, 0.830509597502, 0.0166845657269, 4.68446507407, 0.0197564280279, 3.5421741957, 0.0589802415404, 0.0880070265163, 4.0760959927, 0.904802071637, 0.125068244589, 0.00147123114328, 0.0977359478206, 
validation, 0.0726628764959, 0.122637595102, 0.0578707695891, 0.0366110518393, 0.0946436462595, 0.131396442517, 0.0176669016238, 4.97691530101, 0.0321572560569, 1.21143134613, 0.0152490005479, 3.43345384044, 1.94548526441, 3.80365713535, 0.0338399817508, 0.000480343577134, 0.0780364598143, 0.0882528657862, 0.0586573309407, 0.0387169233093, 0.183338911901, 0.0304941242167, 0.140185114836, 20.1153288594, 21.2709807984, 0.295709856606, 574.185593763, 5.53002241622, 3.64110667282, 5.31176358517, 0.0524559633423, 0.00131340725433, 7.30244677128, 0.0326443071957, 0.128626796427, 0.8260517049, 0.0166008922611, 4.68328823726, 0.019856965772, 3.52496049353, 0.0586658187909, 0.0871833683466, 4.04126080156, 0.907628951574, 0.125079908806, 0.00147591659901, 0.0967090890614, 
validation, 0.0720550545511, 0.121882367578, 0.0574052609531, 0.0365895322799, 0.0945083927852, 0.130192047275, 0.0176308973892, 4.97007689671, 0.0321138621032, 1.20644272274, 0.0151787750568, 3.43896276371, 1.93299313982, 3.80043138952, 0.0337528779682, 0.00047593739811, 0.0775176770522, 0.0874687112431, 0.0581783831382, 0.0387338639484, 0.182046342627, 0.0304733542476, 0.140989137226, 20.031825603, 21.2802129597, 0.295010981984, 576.372067186, 5.55639145467, 3.6356293449, 5.29934185279, 0.0523566350103, 0.00131972042772, 7.27241531536, 0.0327164166691, 0.12768936863, 0.823005639318, 0.0165440260304, 4.67531831562, 0.019895755225, 3.51106166342, 0.0584005207824, 0.0865151498743, 4.01930754855, 0.909215221477, 0.125008549168, 0.00147800092611, 0.0959127334718, 
validation, 0.0705247108647, 0.119743147594, 0.0561135867438, 0.036617210597, 0.0943856733261, 0.126243066852, 0.017564296109, 4.95844394931, 0.0320522187681, 1.19125317223, 0.0149677344128, 3.44390529636, 1.90402290588, 3.79178697918, 0.0334286163896, 0.000462585341429, 0.0761811943504, 0.0853159571735, 0.0568230826495, 0.0389293184788, 0.178108480856, 0.0305385330625, 0.1435179135, 20.0423876043, 21.3923003838, 0.295129874173, 583.257783852, 5.59484222633, 3.60832543127, 5.26866775636, 0.0521275046944, 0.00133701638331, 7.17593061727, 0.0329103041009, 0.125237650118, 0.815408908781, 0.0164032547073, 4.63966397067, 0.0199287457832, 3.46580326344, 0.05751322971, 0.0845786974875, 3.97311147854, 0.914087889385, 0.124502690793, 0.00148310656998, 0.0936569701257, 
validation, 0.0699473697838, 0.118729872866, 0.055511859189, 0.0366986058172, 0.0945925936698, 0.124232532774, 0.0175499406656, 4.95742987861, 0.0320593216484, 1.18318492735, 0.0148562641186, 3.44462990262, 1.8924297064, 3.79070934168, 0.0332679403751, 0.000455932943099, 0.0756380424206, 0.084397696097, 0.0561707625586, 0.0391681004619, 0.176258550247, 0.0306946427693, 0.145020078812, 20.2080171242, 21.5129615619, 0.296479006066, 588.135713934, 5.60356340004, 3.59088880307, 5.25281869741, 0.0520136622361, 0.00134833059368, 7.12576672773, 0.0330191729741, 0.124232351357, 0.812158356055, 0.0163430892936, 4.62017268381, 0.0199376427721, 3.44112061603, 0.0570233412875, 0.083711972578, 3.96245442942, 0.917812749569, 0.124140352029, 0.00148764841986, 0.0926317961924, 
validation, 0.0697637561474, 0.118335282858, 0.055277666228, 0.0367512019676, 0.094760509651, 0.123444083944, 0.0175487752234, 4.95842128403, 0.0320728125804, 1.17977420917, 0.0148091915352, 3.44524100536, 1.88824609189, 3.7914554788, 0.0332086013899, 0.000453307809414, 0.0754498362587, 0.0840748307141, 0.0559108884618, 0.0393096648812, 0.175566279979, 0.0307972869846, 0.145733251792, 20.3183185354, 21.5822990929, 0.297370958316, 590.716036391, 5.6068138984, 3.58329784948, 5.2459563684, 0.0519650173407, 0.00135406045765, 7.10531572804, 0.0330700981112, 0.123884585295, 0.810942560135, 0.0163204944593, 4.61243897602, 0.0199453966913, 3.43064857149, 0.0568145005625, 0.0833978122822, 3.96149526223, 0.919824443861, 0.123979651217, 0.00149041286099, 0.0922494581511, 
validation, 0.0697160948287, 0.118220063154, 0.055209116859, 0.0367697177177, 0.0948228780556, 0.123214518323, 0.0175490841605, 4.95892514229, 0.032078385147, 1.17873798584, 0.0147948942564, 3.44549925884, 1.88706345121, 3.79185511274, 0.0331918950127, 0.000452539191085, 0.0753981618788, 0.0839858837342, 0.0558339592266, 0.0393584518095, 0.175369042181, 0.0308336829348, 0.145962504347, 20.3572891457, 21.6059924448, 0.297685697855, 591.579121776, 5.60784575847, 3.5809803294, 5.24384466307, 0.0519501304171, 0.0013559444761, 7.09921630641, 0.0330863814174, 0.123789339125, 0.810593369242, 0.0163139868368, 4.61017492661, 0.0199485242041, 3.42746388452, 0.0567508509423, 0.0833098390954, 3.96168462961, 0.920500973908, 0.1239304638, 0.0014913826318, 0.0921404841804, 
validation, 0.0697001258779, 0.118179678286, 0.0551850612337, 0.0367766045846, 0.0948464189592, 0.123134196133, 0.0175492735009, 4.95912893787, 0.0320805445388, 1.17836973945, 0.0147898137804, 3.44560093993, 1.88665343113, 3.79201820671, 0.0331861212896, 0.000452269655012, 0.0753804523783, 0.0839553799979, 0.055806856683, 0.0393764919342, 0.175300547874, 0.030847250572, 0.146045563171, 20.3717917913, 21.6147329581, 0.297802797547, 591.895661804, 5.60822175264, 3.58015605948, 5.24309087258, 0.0519448262195, 0.00135663171454, 7.09706268094, 0.0330922711955, 0.123756733593, 0.810471650958, 0.0163117160133, 4.60938113025, 0.0199497367096, 3.42633178073, 0.056728207509, 0.0832794851287, 3.96180949729, 0.920749462951, 0.123912964912, 0.00149174341519, 0.0921026283515, 
validation, 0.0696956248031, 0.118168108032, 0.0551781661425, 0.0367786177768, 0.0948533332718, 0.12311119984, 0.0175493359195, 4.95919007947, 0.0320811840601, 1.17826372783, 0.0147883512388, 3.44563123192, 1.88653640346, 3.79206726301, 0.0331844754965, 0.000452192423449, 0.0753754189692, 0.083946708675, 0.0557990775962, 0.0393817554836, 0.175280989334, 0.0308512196719, 0.146069634629, 20.3760317659, 21.6172812189, 0.297837030401, 591.987774097, 5.60833103595, 3.57991871783, 5.24287353371, 0.051943297846, 0.00135683133406, 7.09644408383, 0.0330939771822, 0.123747470339, 0.810436845226, 0.016311066412, 4.6091536969, 0.0199500960624, 3.4260058335, 0.056721686463, 0.0832708375303, 3.96185116448, 0.920821807393, 0.123907926122, 0.00149184890078, 0.0920918171294, 
validation, 0.0696940600363, 0.11816406539, 0.055175756653, 0.0367793254769, 0.0948557673068, 0.123103166716, 0.0175493586025, 4.9592117373, 0.0320814097412, 1.17822663296, 0.01478783948, 3.44564194126, 1.88649556103, 3.79208465271, 0.0331839013567, 0.000452165437883, 0.0753736646052, 0.0839436861945, 0.0557963580572, 0.0393836047401, 0.175274162569, 0.030852615248, 0.146078074693, 20.3775222956, 21.6181763021, 0.29784906447, 592.02011067, 5.60836939056, 3.5798356643, 5.24279744809, 0.0519427628993, 0.00135690137307, 7.09622777699, 0.0330945752449, 0.123744242116, 0.810424691178, 0.0163108395461, 4.60907423105, 0.0199502229087, 3.42589177655, 0.0567194044061, 0.0832678212924, 3.96186635292, 0.920847207982, 0.123906162883, 0.00149188598481, 0.0920880433841, 
validation, 0.0696933896751, 0.11816233022, 0.0551747224039, 0.0367796299193, 0.0948568149398, 0.123099719051, 0.0175493684781, 4.95922108034, 0.0320815069641, 1.17821070252, 0.0147876197051, 3.44564655796, 1.88647803827, 3.79209215653, 0.0331836550703, 0.000452153855093, 0.0753729122906, 0.0839423900582, 0.055795190541, 0.0393844000978, 0.175271233524, 0.0308532156546, 0.146081702027, 20.3781635068, 21.6185612414, 0.297854241375, 592.034014458, 5.60838588053, 3.57979999616, 5.2427647673, 0.0519425331421, 0.00135693148166, 7.09613490746, 0.0330948322619, 0.123742857842, 0.810419475583, 0.0163107421882, 4.60904012289, 0.0199502775596, 3.42584279406, 0.0567184243331, 0.0832665275086, 3.96187297267, 0.920858130075, 0.123905405643, 0.00149190193826, 0.0920864242197, 
