 ,  rookie_baseline, rookie_validation, rookie_test, rookie_oracle, veteran_baseline, veteran_training, veteran_validation, veteran_test, veteran_oracle, 
2PAPM, 0.127182206424, 0.0750902182757, 0.110205371042, 0.0694203154523, 0.0750096233251, 0.058729239858, 0.0735368440154, 0.0757096237887, 0.031562245636, 
2PP, 0.194614765221, 0.113854432554, 0.198891850953, 0.17143098748, 0.119220501849, 0.0873232351828, 0.123659162069, 0.126271243386, 0.0939476086437, 
2PPM, 0.0766426475416, 0.0452991640532, 0.0702685844974, 0.0526191344529, 0.03305695242, 0.0378121580476, 0.0585330869296, 0.0336728571437, 0.0211716372138, 
3PAPM, 0.146638613938, 0.0515548865053, 0.137306321204, 0.0699842252587, 0.0447230947956, 0.029972491279, 0.0366667148945, 0.0508383283705, 0.0290293230729, 
3PAr, 0.279403023254, 0.146899997894, 0.219579359243, 0.149282103298, 0.126399643583, 0.086615219127, 0.0948589147802, 0.141162727453, 0.0876196505325, 
3PP, 0.190602776243, 0.146351477993, 0.172678495806, 0.150475826624, 0.146393140313, 0.146673230018, 0.132762933949, 0.145541625442, 0.114245039799, 
3PPM, 0.0940896377297, 0.0223205408667, 0.092570142575, 0.056846763929, 0.0210366802373, 0.0139880683177, 0.017734430363, 0.023254455875, 0.0167801006719, 
ASTP, 8.90395442593, 5.44308983731, 7.77871207767, 2.08272879115, 5.42457089434, 4.41364208599, 4.99098336746, 5.90472764349, 1.50635308799, 
ASTPM, 0.0595627342863, 0.0333891506839, 0.0515991507082, 0.0190485255012, 0.0340482971282, 0.027052165136, 0.0322467318685, 0.0376707393007, 0.0174221986112, 
BLKP, 1.97943414746, 1.44655291546, 1.77636588667, 1.12471501516, 0.855012232876, 0.951179978097, 1.21800822097, 0.926050578102, 0.73888807216, 
BLKPM, 0.0228316910795, 0.0185657457418, 0.020295357854, 0.010662978932, 0.0103499815645, 0.0122863245143, 0.0153432668133, 0.0111023307814, 0.00725300114036, 
BPM, 8.79123214419, 4.2217424362, 9.01768489782, 5.87158836357, 4.14696225186, 3.16917362463, 3.41900710007, 4.30366111373, 1.96474869256, 
DBPM, 3.38675003832, 2.02125152985, 3.33722248875, 1.5917227251, 1.8598675068, 1.537342568, 1.96648392878, 1.96560787577, 0.996014511464, 
DRBP, 11.0411443439, 7.02906570071, 12.0003421288, 4.45097543334, 5.84427593672, 3.71477167676, 3.8067021534, 5.95819429804, 2.17100997504, 
DRBPM, 0.106180046713, 0.0655282414393, 0.11593209934, 0.045518805996, 0.0564616884779, 0.0381099210814, 0.0339158053273, 0.0570095246525, 0.0190879953867, 
DWSPM, 0.000613045865245, 0.000591068223248, 0.000628887824493, 0.000512336379955, 0.000484472050275, 0.000465017406858, 0.000486073599952, 0.000514014423863, 0.000353882431464, 
FGAPM, 0.143227667679, 0.0825825371444, 0.149319286153, 0.040958020201, 0.0762289388153, 0.0613936797721, 0.0787891905711, 0.0816012922341, 0.0277220203188, 
FGP, 0.150397581678, 0.104759153215, 0.156164170316, 0.0550816029929, 0.0924126173027, 0.0741414499056, 0.0892850528158, 0.0982641536373, 0.0364519297185, 
FGPM, 0.105656995513, 0.0473881686042, 0.109862469867, 0.0397406841939, 0.0381748532146, 0.0388822171045, 0.0593331649472, 0.0397320350386, 0.0148375573727, 
FTAPM, 0.0484582709154, 0.048466930884, 0.0417629707778, 0.0267278056303, 0.0423525544632, 0.0360058048048, 0.0387168852466, 0.0443252385904, 0.0207639805348, 
FTP, 0.306933423698, 0.216277956572, 0.295402659913, 0.241189505737, 0.204691866482, 0.150721803317, 0.184905413917, 0.219625530893, 0.17150883161, 
FTPM, 0.0343632649299, 0.0356333012594, 0.0309403231234, 0.0186353635563, 0.0334023996974, 0.0267327811227, 0.030543467121, 0.0371491714042, 0.0189899186439, 
FTr, 0.16486634662, 0.174067206395, 0.159453509964, 0.13742984332, 0.280315611118, 0.165593651618, 0.139312745321, 0.28616629102, 0.238345560222, 
G, 29.6229860581, 22.9933881452, 24.057657163, 14.0021680847, 23.8714670428, 21.0605891929, 20.331142989, 23.7944837702, 10.204553986, 
GS, 20.0233745764, 20.8317475943, 16.9010335474, 6.93768080931, 24.6779253585, 23.9859402992, 21.3197170248, 22.2735734148, 7.50458912077, 
GSPG, 0.287570992925, 0.287800722707, 0.255986142109, 0.117976629882, 0.32711018119, 0.308384007029, 0.297807030053, 0.299847193634, 0.117990955427, 
MP, 739.983312931, 665.162741811, 566.584264222, 201.100513322, 686.889003079, 656.316377803, 572.062157671, 647.019058579, 148.671058063, 
MPG, 8.75708803203, 7.59974840725, 7.54658329172, 5.04452418579, 6.19339961841, 5.79798470056, 5.48451858627, 6.27821144283, 2.86923062157, 
OBPM, 8.16052228368, 3.52918324335, 8.35926376562, 4.58712427272, 3.46752425944, 2.78157938899, 3.64292751322, 3.63420353543, 1.49253600973, 
ORBP, 5.0699508043, 3.71565720916, 4.18966640044, 4.36836808107, 2.21323131578, 3.37653364198, 5.33541799166, 2.65891751089, 1.85690075505, 
ORBPM, 0.0450752990522, 0.032690570479, 0.0370074185278, 0.0402946456532, 0.0199487845357, 0.0325654076756, 0.0526570974577, 0.0239066869108, 0.0164142376864, 
OWSPM, 0.00938633573494, 0.00188701676659, 0.00940291992402, 0.00719930662498, 0.00135260921106, 0.00145857529994, 0.00130192907148, 0.00176923095432, 0.00141693616528, 
PER, 13.7143401831, 5.72092220244, 13.9010740081, 7.90734410375, 5.41793130187, 5.0377285211, 7.33855620878, 5.57013643925, 2.27478306586, 
PFPM, 0.0722107592977, 0.0394056705289, 0.0706218724861, 0.0754276307594, 0.030299474822, 0.0334963850439, 0.032531446632, 0.035880753881, 0.0351431584771, 
PPM, 0.285235646734, 0.116187182988, 0.294747673496, 0.125968069932, 0.10161583599, 0.0921533136883, 0.129967707303, 0.111586811694, 0.0327425335101, 
STLP, 1.48304990286, 1.122818672, 1.50553819971, 0.573524061855, 0.792406564375, 0.642926108182, 0.830509597502, 0.97449148341, 0.284568746903, 
STLPM, 0.0297845218333, 0.0215561299748, 0.0302545294154, 0.0125445178142, 0.0158309876936, 0.0126099934706, 0.0166845657269, 0.0193595951462, 0.00689523839847, 
TOVP, 7.17904934703, 6.88847934468, 7.36804508763, 5.30708223858, 4.69266688025, 4.75666505399, 4.68446507407, 6.37267755986, 4.2592407219, 
TOVPM, 0.0407013894262, 0.029760797837, 0.038787154041, 0.0261915472089, 0.0199476126306, 0.0236505199836, 0.0197564280279, 0.0259002561777, 0.0128672828288, 
TRBP, 6.79916777054, 4.42787141166, 6.84807852995, 1.5977862864, 3.34495126715, 2.63291788059, 3.5421741957, 3.37101999289, 0.870035493682, 
TRBPM, 0.121638646062, 0.0788229118499, 0.122489750959, 0.0326993451538, 0.0599710808042, 0.0489876417038, 0.0589802415404, 0.0605516270332, 0.0234744760254, 
TSP, 0.172381596778, 0.112272506705, 0.182569945978, 0.0540597026353, 0.11094193186, 0.0763429547676, 0.0880070265163, 0.119182452829, 0.0446556133382, 
USGP, 7.0959000932, 4.47342708031, 7.12540702112, 2.51847617344, 3.88519232314, 3.35444728936, 4.0760959927, 4.09689894215, 1.30181001223, 
VORP, 0.64555580372, 0.85981152826, 0.640105909663, 0.788047452647, 1.03803926236, 1.03859618705, 0.904802071637, 0.963270465612, 0.798829896289, 
WSP48, 0.280363434503, 0.0920596429901, 0.281146540485, 0.176843689093, 0.0927613104386, 0.086365156292, 0.125068244589, 0.0967065556573, 0.0409234794465, 
WSPM, 0.0093179669156, 0.00207207435095, 0.0093852683208, 0.00731034094838, 0.00133956848927, 0.00153633271762, 0.00147123114328, 0.00167575509437, 0.00124366629782, 
eFGP, 0.174624819893, 0.114067672979, 0.188664690568, 0.0489920722892, 0.111735543283, 0.080675566267, 0.0977359478206, 0.119719199252, 0.0430093142966, 
